,tweet_id,retweet_count,fav_count
1349,701570477911896070,838,2566
1350,701545186879471618,548,2444
1351,701214700881756160,4612,11222
1352,700890391244103680,508,2030
1353,700864154249383937,554,2386
1354,700847567345688576,449,2261
1355,700796979434098688,854,2240
1356,700747788515020802,8396,20923
1357,700518061187723268,719,2385
1358,700505138482569216,520,2092
1359,700462010979500032,1621,3772
1360,700167517596164096,651,2418
1361,700151421916807169,603,2046
1362,700143752053182464,2421,6883
1363,700062718104104960,608,2439
1364,700029284593901568,526,1904
1365,700002074055016451,1196,3011
1366,699801817392291840,844,2761
1367,699788877217865730,467,2047
1368,699779630832685056,1103,2489
1369,699775878809702401,536,1796
1370,699691744225525762,4136,9400
1371,699446877801091073,2383,5472
1372,699434518667751424,464,2014
1373,699423671849451520,287,1244
1374,699413908797464576,568,1918
1375,699370870310113280,388,1741
1376,699323444782047232,783,2882
1377,699088579889332224,557,2070
1378,699079609774645248,568,2244
1379,699072405256409088,1072,2699
1380,699060279947165696,1610,3415
1381,699036661657767936,1086,2392
1382,698989035503689728,873,3062
1383,698953797952008193,822,2472
1384,698907974262222848,550,2331
1385,698710712454139905,615,2258
1386,698703483621523456,333,1313
1387,698635131305795584,309,1193
1388,698549713696649216,558,2150
1389,698355670425473025,394,1697
1390,698342080612007937,867,2068
1391,698262614669991936,1787,4374
1392,698195409219559425,5426,15447
1393,698178924120031232,672,2580
1394,697995514407682048,303,1404
1395,697990423684476929,1167,3006
1396,697943111201378304,605,2183
1397,697881462549430272,1051,2773
1398,697630435728322560,495,1592
1399,697616773278015490,917,2882
1400,697596423848730625,1129,2757
1401,697575480820686848,451,1876
1402,697516214579523584,985,1862
1403,697482927769255936,597,2226
1404,697463031882764288,1264,3152
1405,697270446429966336,1706,4336
1406,697259378236399616,896,3027
1407,697255105972801536,1052,2833
1408,697242256848379904,615,2318
1409,696900204696625153,932,2902
1410,696894894812565505,614,2154
1411,696886256886657024,1620,4424
1412,696877980375769088,636,2250
1413,696754882863349760,327,1364
1414,696744641916489729,829,1884
1415,696713835009417216,583,2168
1416,696518437233913856,1560,3618
1417,696490539101908992,126,1128
1418,696488710901260288,925,2297
1419,696405997980676096,1047,2918
1420,696100768806522880,582,1769
1421,695816827381944320,1049,2750
1422,695794761660297217,704,2909
1423,695767669421768709,663,1704
1424,695629776980148225,1884,4175
1425,695446424020918272,1643,4079
1426,695409464418041856,3224,7955
1427,695314793360662529,1293,3316
1428,695095422348574720,546,2446
1429,695074328191332352,985,2599
1430,695064344191721472,527,1470
1431,695051054296211456,715,2424
1432,694925794720792577,814,2484
1433,694905863685980160,831,2524
1434,694669722378485760,13008,32873
1435,694356675654983680,250,1383
1436,694352839993344000,537,1869
1437,694342028726001664,430,1454
1438,694329668942569472,449,1811
1439,694206574471057408,1842,3801
1440,694183373896572928,839,2696
1441,694001791655137281,921,3126
1442,693993230313091072,356,1724
1443,693942351086120961,327,1616
1444,693647888581312512,516,2467
1445,693644216740769793,115,1264
1446,693642232151285760,376,2339
1447,693629975228977152,719,2254
1448,693622659251335168,336,1415
1449,693590843962331137,1773,4639
1450,693582294167244802,222,1514
1451,693486665285931008,562,1623
1452,693280720173801472,1116,3077
1453,693267061318012928,730,2193
1454,693262851218264065,450,2035
1455,693231807727280129,666,2646
1456,693155686491000832,2882,7229
1457,693109034023534592,548,1557
1458,693095443459342336,401,1693
1459,692919143163629568,692,2493
1460,692905862751522816,785,2232
1461,692901601640583168,533,1610
1462,692894228850999298,714,2075
1463,692828166163931137,793,2646
1464,692752401762250755,3288,6253
1465,692568918515392513,1388,4013
1466,692535307825213440,1227,2889
1467,692530551048294401,366,1689
1468,692423280028966913,195,1367
1469,692417313023332352,3120,8622
1470,692187005137076224,741,2327
1471,692158366030913536,717,1961
1472,692142790915014657,352,1502
1473,692041934689402880,1127,3110
1474,692017291282812928,866,2664
1475,691820333922455552,1483,3626
1476,691793053716221953,3809,7451
1477,691756958957883396,881,2587
1478,691675652215414786,458,1790
1479,691483041324204033,499,2185
1480,691459709405118465,1013,3712
1481,691444869282295808,747,2427
1482,691416866452082688,6871,17757
1483,691321916024623104,595,2367
1484,691096613310316544,792,2750
1485,691090071332753408,305,1599
1486,690989312272396288,2601,5422
1487,690959652130045952,1110,3302
1488,690938899477221376,1736,3756
1489,690932576555528194,899,3015
1490,690735892932222976,1144,3475
1491,690728923253055490,464,1993
1492,690690673629138944,743,2138
1493,690649993829576704,245,1197
1494,690607260360429569,14,279
1495,690597161306841088,545,1781
1496,690400367696297985,406,1737
1497,690374419777196032,759,2962
1498,690360449368465409,787,2440
1499,690348396616552449,460,1364
1500,690248561355657216,369,1534
1501,690021994562220032,915,2573
1502,690015576308211712,656,2292
1503,690005060500217858,1532,3362
1504,689999384604450816,328,1302
1505,689993469801164801,403,1347
1506,689977555533848577,406,1261
1507,689905486972461056,618,2254
1508,689877686181715968,1037,2789
1509,689835978131935233,687,2009
1510,689661964914655233,850,2988
1511,689659372465688576,3454,9487
1512,689623661272240129,576,2029
1513,689599056876867584,4997,10704
1514,689557536375177216,401,1891
1515,689517482558820352,1292,3114
1516,689289219123089408,843,2066
1517,689283819090870273,996,3002
1518,689280876073582592,638,1818
1519,689275259254616065,224,1050
1520,689255633275777024,967,2336
1521,689154315265683456,894,2845
1522,689143371370250240,454,1856
1523,688916208532455424,770,2484
1524,688908934925697024,705,1932
1525,688898160958271489,708,1915
1526,688894073864884227,617,2054
1527,688828561667567616,320,1269
1528,688804835492233216,167,885
1529,688789766343622656,602,2043
1530,688547210804498433,624,2385
1531,688519176466644993,655,2141
1532,688385280030670848,4065,8479
1533,688211956440801280,749,2070
1534,688179443353796608,526,1973
1535,688116655151435777,695,2603
1536,688064179421470721,320,1588
1537,687841446767013888,2233,4996
1538,687826841265172480,1004,2508
1539,687818504314159109,860,2278
1540,687807801670897665,654,2195
1541,687732144991551489,591,1611
1542,687704180304273409,764,2234
1543,687664829264453632,468,1791
1544,687494652870668288,525,1751
1545,687480748861947905,221,1468
1546,687476254459715584,478,1820
1547,687460506001633280,490,1898
1548,687399393394311168,550,1734
1549,687317306314240000,8299,18570
1550,687312378585812992,1723,3994
1551,687127927494963200,2039,4954
1552,687124485711986689,459,2015
1553,687109925361856513,2221,5343
1554,687102708889812993,868,2161
1555,687096057537363968,549,2072
1556,686947101016735744,2893,7946
